100
1 2 3 4
26 1046 1166 1
48 796 916 4
35 948 1068 5
40 1185 1305 1
48 152 272 3
47 1149 1269 5
43 1046 1166 4
23 724 844 1
36 829 949 5
44 260 380 3
41 899 1019 4
46 786 906 5
38 574 694 3
27 171 291 1
59 1014 1134 5
54 1143 1263 3
34 838 958 2
55 297 417 2
28 824 944 1
25 104 224 4
26 635 755 2
57 884 1004 3
45 78 198 5
31 769 889 4
43 612 732 1
43 608 728 3
39 1015 1135 4
35 447 567 4
47 556 676 2
59 924 1044 5
37 248 368 3
28 922 1042 1
48 37 157 4
49 782 902 3
21 1227 1347 1
50 568 688 3
28 233 353 1
24 1108 1228 3
58 504 624 5
49 585 705 3
60 1246 1366 2
48 222 342 3
41 137 257 2
40 654 774 4
32 1126 1246 4
44 722 842 5
36 1068 1188 1
36 1148 1268 4
52 1153 1273 5
29 378 498 1
51 299 419 5
59 1060 1180 4
59 120 240 1
27 47 167 4
28 603 723 1
37 666 786 5
52 169 289 3
26 186 306 2
44 804 924 4
27 1013 1133 5
39 258 378 4
44 560 680 2
21 919 1039 3
37 885 1005 4
55 1006 1126 2
52 1082 1202 5
39 52 172 3
43 47 167 1
29 971 1091 2
35 1118 1238 2
21 1224 1344 1
33 919 1039 1
44 448 568 3
31 672 792 5
27 1148 1268 2
24 970 1090 2
41 1034 1154 2
55 839 959 3
32 154 274 4
42 383 503 5
50 801 921 1
33 166 286 2
37 510 630 5
31 1002 1122 3
58 140 260 1
41 765 885 2
29 501 621 1
26 123 243 4
43 425 545 4
33 153 273 3
24 44 164 3
43 72 192 1
30 188 308 4
44 766 886 3
39 347 467 2
33 44 164 3
51 1020 1140 5
47 988 1108 2
46 644 764 3
47 545 665 3
